SDSS_dr8objid	GZ_dr8objid
1237651539792953549	1237651539792953549
1237651540315013214	1237651540315013214
1237651540316586091	1237651540316586091
1237651540319731865	1237651540319731865
1237651701915058272	1237651701915058272
1237651702451470637	1237651702451470637
1237651714798846206	1237651714798846206
1237651714798911731	1237651714798911731
1237651714798977350	1237651714798977350
1237651714801140061	1237651714801140061
1237651714801205596	1237651714801205596
1237651715337748917	1237651715337748917
1237662700792381761	1237651716408476031
1237651735219929209	1237651735219929209
1237651735223140558	1237651735223140558
1237651735230349420	1237651735230349420
1237654029249609900	1237651735748018424
1237651735763943531	1237651735763943531
1237651735765385441	1237651735765385441
1237651735771611332	1237651735771611332
1237651735771939020	1237651735771939020
1237651735773774139	1237651735773774139
1237651736300028071	1237651736300028071
1237651736305533085	1237651736305533085
1237651736313659757	1237651736313659757
1237651736314773595	1237651736314773595
1237651736315232596	1237651736315232596
1237651736316608823	1237651736316608823
1237651736317001961	1237651736317001961
1237654030322827267	1237651736821235745
1237654030323089595	1237651736821498126
1237651736831590435	1237651736831590435
1237651736831918170	1237651736831918170
1237651736838013064	1237651736838013064
1237651736846401761	1237651736846401761
1237651736851513721	1237651736851513721
1237651736852824417	1237651736852824417
1237651736853479733	1237651736853479733
1237651737370558602	1237651737370558602
1237651737371148472	1237651737371148472
1237651737373376616	1237651737373376616
1237651737375604894	1237651737375604894
1237651737375932577	1237651737375932577
1237651737389695389	1237651737389695389
1237650797294059674	1237651752385183972
1237651752399667275	1237651752399667275
1237651752400584763	1237651752400584763
1237651752400584794	1237651752400584794
1237648705665433841	1237651752415854747
1237651752920875233	1237651752920875233
1237651752923562103	1237651752923562103
1237651752933327006	1237651752933327006
1237651752933589144	1237651752933589144
1237651752950825059	1237651752950825059
1237651753459253352	1237651753459253352
1237651753463578764	1237651753463578764
1237651753470984209	1237651753470984209
1237651753481732151	1237651753481732151
1237651753491431477	1237651753491431477
1237651753996386356	1237651753996386356
1237651753998352534	1237651753998352534
1237651753998352555	1237651753998352555
1237651754002481462	1237651754002481462
1237651754018406508	1237651754018406508
1237651754019258575	1237651754019258575
1237651754025091254	1237651754025091254
1237651754531487930	1237651754531487930
1237651754541580402	1237651754541580402
1237651754542432354	1237651754542432354
1237651754543546529	1237651754543546529
1237651754545053750	1237651754545053750
1237651754565697671	1237651754565697671
1237651755082252421	1237651755082252421
1237651755091689608	1237651755091689608
1237651755097063578	1237651755097063578
1237654669735559276	1237651800697143553
1237654670810152992	1237651801771802635
1237654670810873880	1237651801772458121
null	1237651821637206141
1237651821637337119	1237651821637337119
1237651822173618188	1237651822173618188
1237651822710816973	1237651822710816973
1237651823245263089	1237651823245263089
1237651823249981607	1237651823249981607
1237652598490137139	1237652598490137139
1237652598499115128	1237652598499115128
1237652598499311665	1237652598499311665
1237652599027204457	1237652599027204457
1237652599029694882	1237652599029694882
1237652599032905771	1237652599032905771
1237652599565254825	1237652599565254825
1237652599571087596	1237652599571087596
1237652600097669270	1237652600097669270
1237652600097669636	1237652600097669636
1237652600107565286	1237652600107565286
1237652600636047825	1237652600636047825
1237652600638734662	1237652600638734662
1237652600641421570	1237652600641421570
1237652600641552486	1237652600641552486
1237652600645025883	1237652600645025883
1237652600649547917	1237652600649547917
1237652601171345894	1237652601171345894
1237652899148333155	1237652615668629571
1237652899142107199	1237652628566310963
1237652900207788099	1237652629631991869
1237652900218011831	1237652629642215623
1237652901287100544	1237652630711304296
1237652899136602122	1237652899136602122
1237652899149643903	1237652899149643903
1237652899155017821	1237652899155017821
1237652899693133865	1237652899693133865
1237652899697262623	1237652899697262623
1237652900212244526	1237652900212244526
1237652900223909957	1237652900223909957
1237652900228562966	1237652900228562966
1237652900228890761	1237652900228890761
1237652900229021870	1237652900229021870
1237652900229677126	1237652900229677126
1237652900230660224	1237652900230660224
1237652900236755041	1237652900236755041
1237652900748066897	1237652900748066897
1237652900761108553	1237652900761108553
1237652900766810201	1237652900766810201
1237652900769038592	1237652900769038592
1237652900772053131	1237652900772053131
1237652901282578573	1237652901282578573
1237652901289525406	1237652901289525406
1237652901294112862	1237652901294112862
1237652901295489068	1237652901295489068
1237652901296930898	1237652901296930898
1237652901297717422	1237652901297717422
1237652901819121795	1237652901819121795
1237652901844025529	1237652901844025529
1237652933501059263	1237652933501059263
1237652934031508088	1237652934031508088
1237652934035243328	1237652934035243328
1237652934568771955	1237652934568771955
1237652934573883625	1237652934573883625
1237652934574539102	1237652934574539102
1237652935108526505	1237652935108526505
1237652935110885740	1237652935110885740
1237652935647887689	1237652935647887689
1237652936177943085	1237652936177943085
null	1237652936180433095
1237652943693217809	1237652939402641588
1237652944230089501	1237652939939513170
1237652942095450317	1237652942095450317
1237652942095646904	1237652942095646904
1237652942095712502	1237652942095712502
1237652942096695356	1237652942096695356
1237652942099906723	1237652942099906723
1237652942101348562	1237652942101348562
null	1237652942102397066
1237652942632583325	1237652942632583325
1237652942634811564	1237652942634811564
1237652942634877151	1237652942634877151
1237652942638022884	1237652942638022884
1237652942638809416	1237652942638809416
1237652943174631603	1237652943174631603
1237652943705604208	1237652943705604208
1237652943708160188	1237652943708160188
1237652943709667688	1237652943709667688
1237652943710257169	1237652943710257169
1237652944243458415	1237652944243458415
1237652944247455926	1237652944247455926
1237652944247718020	1237652944247718020
1237652944782360794	1237652944782360794
1237652944783015999	1237652944783015999
1237652946379669734	1237652946379669734
1237652946380259346	1237652946380259346
1237652946380259456	1237652946380259456
1237652946385043561	1237652946385043561
1237652946386092135	1237652946386092135
1237652946919292996	1237652946919292996
1237652946920603681	1237652946920603681
1237652946921193636	1237652946921193636
