name,objID,ra,dec,run,rerun,camcol,field,rowC,colC,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z
1237655123934380158_r,5.88011E+17,181.9623146,3.90631973,2247,41,1,141,1215.26086,1656.35278,GALAXY,17.87582,16.834608,16.26207,15.876274,15.720094,17.911602,16.820148,16.306801,15.954517,15.890348
1237655123937263760_r,5.88011E+17,188.4636229,3.7556327,2247,41,1,185,315.525665,305.433167,GALAXY,19.384878,17.744406,16.909117,16.524536,16.191849,19.528458,17.912697,17.156153,16.798538,16.588324
1237655123946897569_r,5.87726E+17,210.546484,3.3221494,1458,40,6,572,1091.9845,210.567291,GALAXY,18.746166,17.485754,16.833393,16.431353,16.179033,18.311558,17.318272,16.766462,16.407118,16.176701
1237655124467187845_r,5.88011E+17,172.6420675,4.16648868,2247,41,2,79,1100.25647,1190.70422,GALAXY,17.934891,16.650293,16.177973,15.890278,15.708472,17.956419,16.663071,16.246393,16.019958,15.884976
1237655124468302048_r,5.88011E+17,175.2288201,4.2193376,2247,41,2,96,1424.12756,1278.07422,GALAXY,18.664139,17.310041,16.732733,16.393141,16.120441,18.52742,17.268339,16.746571,16.485468,16.150974
1237655124477608190_r,5.88011E+17,196.5395928,4.15207814,2247,41,2,238,1394.16003,924.289063,GALAXY,18.031048,16.804527,16.255142,15.930177,15.708446,17.910437,16.810377,16.274714,15.978281,15.78188
1237655124477673610_r,5.88011E+17,196.6237036,4.21751708,2247,41,2,239,785.178528,1532.37317,GALAXY,18.82729,17.570503,17.011696,16.704493,16.466785,18.706249,17.611286,17.073774,16.804928,16.561724
1237655124478066874_r,5.88011E+17,197.5025045,4.10207285,2247,41,2,245,605.873413,628.164612,GALAXY,19.345922,17.618435,16.725618,16.312016,15.972921,19.337862,17.930426,17.07996,16.68515,16.329763
1237655125016576127_r,5.88011E+17,201.2145839,4.51195227,2247,41,3,270,143.819092,1267.26672,GALAXY,18.673552,17.10667,16.380417,15.989869,15.721775,18.318611,17.143599,16.529196,16.233219,16.065664
1237655125541716164_r,5.88011E+17,174.3970328,5.05102338,2247,41,4,91,808.699646,1326.09265,GALAXY,19.154749,17.237371,16.226353,15.76366,15.400456,18.784737,17.222311,16.438131,15.975096,15.824847
1237655125546500246_r,5.88011E+17,185.3770047,5.14340361,2247,41,4,164,884.898865,1394.97998,GALAXY,18.294321,16.9767,16.390095,16.053261,15.840678,18.131433,16.95299,16.441364,16.127661,15.994274
1237655125547090116_r,5.88011E+17,186.7477102,5.03076974,2247,41,4,173,1049.91064,391.068329,GALAXY,19.261066,17.72127,16.722486,16.291359,15.89561,19.172461,17.618822,16.655943,16.216503,15.91583
1237655125548073090_r,5.88011E+17,188.9172439,5.04007651,2247,41,4,188,281.938477,560.044006,GALAXY,18.539989,17.062534,16.365116,15.966452,15.614631,18.666321,17.096708,16.426636,16.061201,15.791677
1237655125552529622_r,5.88011E+17,199.2568651,4.92177235,2247,41,4,256,1380.24133,770.283264,GALAXY,19.179932,17.211628,16.244194,15.819718,15.489726,19.010027,17.516613,16.564972,16.121269,15.835526
1237655125556986037_r,5.88011E+17,209.359124,4.70030419,2247,41,4,324,364.486542,1391.09277,GALAXY,18.103882,16.696238,16.095364,15.738345,15.450687,18.087288,16.718456,16.147472,15.840843,15.603779
1237655126088024284_r,5.88011E+17,196.0859979,5.45289244,2247,41,5,235,1166.15918,1235.50403,GALAXY,18.829826,17.571337,17.024248,16.6768,16.499775,18.869587,17.693319,17.272423,16.94479,16.888693
1237655126089007321_r,5.88011E+17,198.2921959,5.32838527,2247,41,5,250,736.983459,470.911652,GALAXY,18.605938,17.399866,16.797155,16.4289,16.223541,18.926968,17.533653,16.865326,16.478798,16.29034
1237655126089269394_r,5.88011E+17,198.911196,5.38557668,2247,41,5,254,883.753113,1105.55615,GALAXY,18.574049,17.087343,16.361324,15.971987,15.71661,18.509954,17.05974,16.408175,16.003599,15.833449
1237655126092742798_r,5.88011E+17,206.8430609,5.14554339,2247,41,5,307,588.306946,843.263306,GALAXY,18.943045,17.325123,16.42037,15.951985,15.663963,18.833467,17.542387,16.737503,16.29809,16.02721
1237655126092939484_r,5.88011E+17,207.3130796,5.17001336,2247,41,5,310,751.15509,1205.05591,GALAXY,18.956308,17.587124,17.051788,16.728891,16.608213,19.171417,17.62039,17.127596,16.805855,16.743103
1237655126614933584_r,5.88011E+17,173.172869,5.80832087,2247,41,6,83,736.399475,767.362549,GALAXY,19.267199,17.709667,16.891062,16.436209,16.155279,19.402349,17.491413,16.820303,16.390213,16.360554
1237655126617096339_r,5.88011E+17,178.1338611,5.9144034,2247,41,6,116,703.804382,1096.33069,GALAXY,18.718031,17.561781,17.03232,16.699198,16.530792,18.462399,17.550632,17.093843,16.75845,16.541075
1237655126619390122_r,5.88011E+17,183.4793277,5.91083758,2247,41,6,151,1412.67017,755.859497,GALAXY,18.510355,17.293415,16.680664,16.277256,16.013081,18.458792,17.450926,16.853876,16.501434,16.155378
1237655126619455646_r,5.88011E+17,183.5935772,5.905864,2247,41,6,152,1084.87683,708.263367,GALAXY,18.501451,17.191807,16.456474,16.033857,15.755247,18.81625,17.467445,16.696342,16.327965,16.123766
1237655126626402431_r,5.88011E+17,199.4841182,5.70859924,2247,41,6,258,560.938293,335.45459,GALAXY,18.929813,17.52342,16.84672,16.457687,16.169813,18.756384,17.513878,16.908398,16.536478,16.17378
1237655126630465682_r,5.88011E+17,208.804345,5.4400032,2247,41,6,320,549.861511,301.423187,GALAXY,19.00717,17.677097,17.013472,16.589008,16.322079,18.746727,17.534164,16.960213,16.597622,16.452209
1237655129300861190_r,5.87729E+17,244.8706787,46.67784982,2248,40,3,107,465.063721,1434.11609,GALAXY,18.096966,16.702156,16.174541,15.889688,15.653893,17.782902,16.391329,16.036484,15.874469,15.814857
1237655129303548029_r,5.87729E+17,249.9352276,41.63035374,2248,40,3,148,1171.20154,618.271118,GALAXY,18.338791,17.154652,16.729933,16.500534,16.366697,18.516111,17.081354,16.767231,16.603771,16.84918
1237655129303810378_r,5.87729E+17,250.4623876,41.22837595,2248,40,3,152,776.622192,1497.25745,GALAXY,18.703793,17.340828,16.739725,16.375267,16.133238,18.467838,17.277817,16.743395,16.383633,16.186195
1237655129304858783_r,5.87729E+17,252.1055335,39.27724791,2248,40,3,168,80.015213,1055.95959,GALAXY,18.173855,16.978958,16.497709,16.202082,15.998476,18.083223,16.964878,16.573366,16.287254,16.183681
1237655129308791224_r,5.87729E+17,257.9721453,31.60007892,2248,40,3,228,589.684021,1466.18396,GALAXY,18.187536,17.123974,16.680439,16.365183,16.19157,18.165188,17.048632,16.581484,16.288557,16.210596
1237655129844875736_r,5.87729E+17,257.1801724,33.34438986,2248,40,4,216,161.818466,363.774933,GALAXY,18.261759,16.76305,16.201277,15.838039,15.761115,18.177195,16.673744,16.171288,15.842005,15.882974
1237655129845072422_r,5.87729E+17,257.6641796,32.93783798,2248,40,4,219,1127.02332,1686.10071,GALAXY,18.553513,17.327421,16.637438,16.209854,15.96289,18.661201,17.5588,16.92972,16.560614,16.432018
1237655130372571290_r,5.87729E+17,241.3249323,50.80801943,2248,40,5,76,201.116776,1436.89722,GALAXY,18.101536,16.862944,16.17038,15.79339,15.549729,18.19211,16.846333,16.2176,15.856526,15.663538
1237655130374340864_r,5.87729E+17,245.3129168,47.68863271,2248,40,5,103,381.997437,1636.73059,GALAXY,19.208015,17.603622,16.798063,16.360748,16.014791,18.946138,17.549145,16.88607,16.502703,16.162985
1237655130374472044_r,5.87729E+17,245.6434572,47.33796038,2248,40,5,105,1422.18652,1277.36731,GALAXY,18.607595,17.360933,16.714731,16.356155,16.115017,18.70467,17.413143,16.791073,16.440699,16.259319
1237655130376110437_r,5.87729E+17,248.7880153,44.33272343,2248,40,5,130,1199.53894,919.313965,GALAXY,18.206972,16.970175,16.296867,15.936717,15.688335,18.032129,16.907055,16.308615,15.992935,15.88168
1237655130381746824_r,5.87729E+17,257.6702672,33.44616113,2248,40,5,216,1236.50244,229.621796,GALAXY,20.031136,18.028624,17.039991,16.606953,16.27652,19.98522,18.0443,17.118765,16.753235,16.489824
1237655347821150351_r,5.88011E+17,244.8825135,43.0519305,2299,41,2,318,132.85878,538.9953,GALAXY,18.617697,17.174763,16.506821,16.153053,15.874122,18.264685,16.996311,16.422543,16.086245,16.02113
1237655348887552177_r,5.88011E+17,227.2014709,55.20491073,2299,41,4,206,1037.99683,333.798584,GALAXY,17.993361,16.733175,16.283323,15.970071,15.819944,17.959946,16.714314,16.347614,16.084633,16.093147
1237655348892205354_r,5.88011E+17,240.1492177,48.16999435,2299,41,4,277,1170.6134,1263.79199,GALAXY,18.414642,17.291063,16.611448,16.242811,15.995551,18.672405,17.511301,16.866192,16.560152,16.385393
1237655349424423025_r,5.88011E+17,227.4932363,55.58185497,2299,41,5,206,198.469955,168.018417,GALAXY,17.946665,16.809294,16.383476,16.090525,15.963375,17.777325,16.68067,16.332876,16.101784,16.069742
1237655368752365636_r,5.88011E+17,190.3571055,61.38970754,2304,41,1,215,168.654404,463.639923,GALAXY,18.290785,17.112734,16.583796,16.249149,16.089943,18.014095,17.045078,16.583433,16.257515,16.120285
1237655368757280934_r,5.88011E+17,212.4087652,58.50945373,2304,41,1,290,1313.32715,429.096863,GALAXY,18.511271,16.938965,16.094156,15.683825,15.381974,18.282755,16.915636,16.116753,15.783108,15.490196
1237655369286156432_r,5.88011E+17,175.7686415,61.6412926,2304,41,2,168,1104.54993,811.722229,GALAXY,18.178186,16.785337,16.10734,15.737083,15.490826,17.997488,16.802624,16.161465,15.799529,15.549951
1237655369293889692_r,5.88011E+17,211.7734652,59.28620263,2304,41,2,286,1177.05811,1867.07666,GALAXY,18.035053,16.71736,16.0676,15.733836,15.498975,17.860683,16.648785,16.059795,15.780168,15.786708
1237655369816146042_r,5.88009E+17,146.5935923,56.32267818,1895,41,3,252,1020.93439,1384.34949,GALAXY,18.061939,16.896645,16.389853,16.037863,15.839819,17.976109,16.775759,16.36178,16.062443,15.948887
1237655369822765179_r,5.88011E+17,174.2806432,62.00006265,2304,41,3,164,736.637451,1202.42578,GALAXY,19.15591,17.899864,16.989359,16.556562,16.243931,18.978928,17.979467,17.194937,16.832333,16.60512
1237655369831088255_r,5.88011E+17,213.2812303,59.3540379,2304,41,3,291,498.758881,1483.34558,GALAXY,19.732208,17.972252,16.879469,16.397312,16.094255,19.521967,17.910149,16.922922,16.592392,16.352537
1237655369832661110_r,5.88011E+17,219.3378165,57.60130621,2304,41,3,315,712.058716,617.855713,GALAXY,18.300861,17.12396,16.708826,16.494793,16.313982,18.206463,17.063309,16.685362,16.579514,16.707464
1237655370363240737_r,5.88011E+17,192.1679708,62.68940217,2304,41,4,219,1265.53748,1524.89905,GALAXY,18.775265,17.035046,16.164764,15.7463,15.370621,18.689625,16.848162,16.016096,15.627314,15.326898
1237655370892443789_r,5.88009E+17,155.5530262,59.85415175,1895,41,5,291,1165.74646,295.541351,GALAXY,18.59359,17.367487,16.950089,16.636066,16.67494,18.203243,17.28817,16.905586,16.662769,17.269653
1237655370897227847_r,5.88011E+17,177.4680095,63.09819012,2304,41,5,175,394.150269,1574.90076,GALAXY,19.135357,17.721125,16.895668,16.482847,16.218912,18.863358,17.615669,16.890984,16.458191,16.317793
1237655370899587195_r,5.88011E+17,189.6104966,63.14023258,2304,41,5,211,1238.15588,827.762451,GALAXY,19.141104,17.778238,16.906635,16.447638,16.190807,18.732695,17.661627,16.851116,16.453344,16.233912
